"ID","University","Department_Program","Country","City","Region","URL","Format","Funding_Summary","Key_Supervisors","Advantages","Disadvantages","Venture_Pilot_Fit","Tier","Verification_Status","Fit_Notes","Tuition","Scholarships_Grants","TA_RA_Opportunities","Net_Earnings_Estimate"
"PHD-24","KU Leuven","Faculty of Economics & Business / LICOS (PhD in Economics)","Belgium","Leuven","Europe","https://feb.kuleuven.be/research/PhD/Economics/Economics","Funded PhD positions via annual FEB call; Belgian salaried/fellowship models; ~4 yrs; English.","Funded positions (competitive annual call). Salaried/fellowship.","Bert D'Espallier (microfinance institutions, performance, inclusion; CERMi network); LICOS for development/institutional economics","Microfinance supervisor + top-ranked economics department + funded positions; also the KU Leuven side of the IESEG joint route (potential co-supervision).","Competitive funded-position entry; confirm D'Espallier's current supervision availability.","Medium-high.","2","Supervisor verified (D'Espallier)","Strong microfinance supervisor within a top department; natural complement to the IESEG joint route.","Very low: doctorate fee EUR 557.10 on first registration, none on re-registration, EUR 557.10 again in the defence year; no non-EEA doctorate surcharge (the ~EUR 9,494 non-EEA figure is for taught master's, not the doctorate).","Routes: FWO PhD Fellowship (~EUR 2,460/mo-level, tax-exempt + social security, 4 yrs, + ~EUR 3,720/yr bench fee), KU Leuven BOF, project/assistant posts, or external. Caveat: FWO generally requires an EEA/Switzerland degree, so BOF/project/external funding is the more reliable channel for a non-EU candidate.","FWO/BOF holders: no mandatory teaching. Salaried 'assistent' posts carry teaching duties. A doctoral training program (~60 ECTS-equivalent) is required.","On FWO/BOF: net ~EUR 2,300-2,600/mo = ~EUR 28,000-31,000/yr (~USD 30,000-33,000). On a salaried assistant contract: gross ~EUR 2,600-3,000/mo, net ~EUR 2,000-2,300. Tuition negligible. Leuven: comfortably covers."
"PHD-25","Frankfurt School of Finance & Management","Doctoral Program (Finance / Economics)","Germany","Frankfurt","Europe","https://www.frankfurt-school.de/en/study/doctoral","Full-time, up to 5 yrs; English; 100% time commitment. No part-time.","Fully funded via Foundation Doctoral Scholarship up to EUR 2,320/mo tax-exempt from yr 1 + research/travel budgets; competitive.","Deep institutional microfinance/financial-inclusion heritage sits in the Advisory Services arm, not necessarily the academic PhD faculty - named academic supervisor To identify (verify before applying).","Fully funded, English, finance-rigorous, in a major financial centre; the microfinance/financial-inclusion consulting network is unmatched for practitioner ties + potential pilot partners.","Full-time 100%-commitment scholarship (hard to run a venture); academic microfinance chair unconfirmed - heritage is advisory, not necessarily supervision.","Medium: excellent network, demanding time commitment.","2","Program verified; academic supervisor to verify","Strong funding + practitioner network; confirm an on-topic academic supervisor exists before ranking highly.","Waived for admitted doctoral scholarship holders (Frankfurt School's fees sit on its Master/MBA programmes, not the funded doctorate); internationals admitted on the same merit terms.","Foundation Doctoral Scholarship up to EUR 2,320/mo tax-exempt from yr 1, for the full 5 yrs (progress-contingent), plus travel/research budget; up to ~8 funded places; all applicants considered automatically on merit - open to internationals, not nationality-gated.","Not detailed; the scholarship requires 100% time on the doctorate, implying limited teaching/RA duties rather than a salaried-contract requirement (unverified).","~EUR 27,840/yr tax-free (~USD 30,000). Frankfurt housing is pricey, so: ADEQUATE, tighter than the headline suggests for a single person."
"PHD-26","UNU-MERIT / Maastricht University","PhD in Innovation, Economics, Governance & Sustainable Development","Netherlands","Maastricht","Europe","https://unu.edu/merit/phd-programme/phd-programme-innovation-economics-governance-and-sustainable-development","Two tracks: (a) full-time 4-yr; (b) 'Dual Career' PhD for working professionals with limited on-site presence + online support (the part-time/venture-parallel option). English.","Full-time funding via grants/scholarships (not guaranteed by program; ~10 fellowships in past cycles). Dual Career track typically self/employer-funded.","Distinguished development-economics/impact-evaluation faculty; on-topic financial-inclusion/RCT supervisor To identify (verify).","The Dual Career track is a rare explicit part-time/venture-parallel route; UN affiliation + SDG framing fit the development-impact and capital-mobilization narrative.","Full-time funding not automatic; Dual Career usually self-funded; finance-structuring specialization thin.","High: Dual Career format is purpose-built for professionals running parallel work.","1","Program verified (part-time track); supervisor to verify","Best structural match for part-time/venture-parallel study; confirm funding + a financial-inclusion/RCT supervisor.","Track-dependent. Full-time: no published figure (candidates 'typically secure funding via grants/scholarships'). Dual Career (part-time, working professionals): EUR 9,000 in yr 1 then EUR 7,000/yr - you PAY.","No scholarships for the Dual Career track (self/employer-funded). Full-time: funded PhD-fellowship cohorts (~10) advertised periodically via EURAXESS; Global South encouraged but no nationality bar (non-EU eligible). The Dual Career track is the structurally relevant one for a founder running a parallel venture.","None inherent to the Dual Career track (fee-paying, not employment). Full-time funded fellows may have research duties tied to their funding.","Dual Career: NEGATIVE - ~EUR 30,000 over 4 yrs in fees, no stipend (designed to run alongside a paying job). Full-time funded: ~EUR 29,000-34,000/yr net (est., Dutch levels). Flag: Dual Career is self-financed by design; full-time funded comfortably covers in Maastricht."
"PHD-27","Wageningen University & Research","Development Economics Group (PhD)","Netherlands","Wageningen","Europe","https://www.wur.nl/en/chair-groups/section-economics/development-economics","Dutch salaried-PhD model common (~4 yrs); also externally/sandwich-funded PhDs; English.","Salaried-PhD potential (position-dependent).","Erwin Bulte (development econ; field experiments/RCTs, risk, insurance, resilience; IGC/CEPR/ATAI-adjacent)","RCT-heavy group; agricultural/rural-finance + index-insurance expertise fits the microinsurance and African-field-site angle; salaried-PhD potential.","More agricultural/rural development than structured finance; entry position-dependent.","High for African rural pilots + insurance evaluation.","2","Supervisor verified (Bulte)","Strong for the impact-evaluation + microinsurance side; verify a named funded position.","None on a salaried position (employed promovendus = staff). Self-funded/sandwich candidates may face fees/bench costs.","Salaried PhD vacancies attached to funded projects (NWO/EU/university/development-research) in the Development Economics Group; no nationality bar (non-EU eligible), permit handled by WUR. External/sandwich candidates also accepted.","Salaried Dutch CAO job with a modest teaching/assistance component (part of employment, faculty-dependent).","CAO scale P: gross EUR 3,059/mo (yr 1) to EUR 3,881/mo (yr 4), +8% holiday +8.3% year-end; net ~EUR 29,000-34,000/yr (~USD 31,000-37,000). Wageningen (affordable): comfortably covers."
"PHD-28","Universite Clermont Auvergne (CERDI)","Centre for Studies and Research on International Development (PhD)","France","Clermont-Ferrand","Europe","https://cerdi.uca.fr/english-version","PhD via doctoral college, ~3 yrs; funded doctoral contracts (salaried) awarded competitively; some admin in French; English supervision per supervisor.","Fully funded doctoral contracts (contrats doctoraux), competitive annual selection.","Large development-economics faculty (development financing, Sub-Saharan Africa focus); named microfinance/microinsurance supervisor To identify.","Funded salaried contracts; one of Europe's heavyweight development-economics centres; deep African-fieldwork + impact-evaluation tradition.","Competitive fixed-cycle funded-contract entry; some administration in French; supervisor fit unverified.","Good for the African field site; full-time contract limits parallel time.","2","Program verified; supervisor to verify","Strong development-economics + African focus + funding; verify a named on-topic supervisor.","French national doctoral fee ~EUR 400/yr + ~EUR 100 CVEC; no international differential at public universities.","Funded route is the salaried 'contrat doctoral' (3 yrs), statutory minimum gross EUR 2,300/mo from 1 Jan 2026; non-EU eligible. Also Eiffel Excellence (Campus France), regional and ANR-funded thesis contracts.","A contrat doctoral can add an optional teaching mission (~64 h/yr) at a premium, or be research-only.","EUR 2,300 gross ~ EUR 1,850/mo net = ~EUR 22,000/yr (~USD 24,000). Clermont-Ferrand (low-cost): COMFORTABLY COVERS - the French option where the doctoral salary stretches furthest."
"PHD-29","University of Mannheim / ZEW","Economics PhD (with ZEW research)","Germany","Mannheim","Europe","https://www.zew.de/en/team/rdh","Top-tier economics PhD, typically funded; English.","Funded (competitive); German structured-PhD norms.","Ralph de Haas (ZEW; also EBRD Director of Research, KU Leuven) - leading development-finance / financial-inclusion scholar","Top-tier economics PhD + a leading development-finance supervisor (de Haas) with EBRD ties - strong for the capital-mobilization + banking angle.","Very competitive; confirm de Haas supervising availability given multiple affiliations; more empirical banking than securitization engineering.","Medium (full-time).","2","Supervisor verified (de Haas; confirm availability)","Strong development-finance supervisor within a top department; approach de Haas directly.","Tuition-free; only the semester fee (~EUR 200/semester, unverified). Same for internationals.","CDSE/GESS guarantees 3-5 yrs of funding. Yrs 1-2 (coursework): a EUR 1,500/mo tax-free stipend (ZEW track paid by ZEW); the core stipend is open to internationals. GESS also administers DAAD/foundation top-ups and completion/travel funds.","Coursework years are generally teaching-free; from ~yr 3 funding typically converts to a salaried RA/TA or ZEW-researcher post (higher pay); rates unpublished.","Yrs 1-2: EUR 1,500/mo tax-free = ~EUR 18,000/yr (~USD 19,400). Later salaried RA (est. TV-L E13 65%): ~EUR 23,000-25,000/yr net. Mannheim (moderate cost): TIGHT early, adequate once on the later salaried contract."
"PHD-30","Krea University (IFMR Graduate School of Business)","PhD in Management + affiliated LEAD at Krea (financial inclusion/RCT centre)","India","Sri City","Asia","https://krea.edu.in/ifmrgsb/phd-programme-krea/","BOTH full-time (4 yrs, +1) and PART-TIME (hybrid: in-person + hybrid lectures, on-campus exams). English.","Full-time: tuition waiver + monthly stipend + conference funding. Part-time: self-funded.","Jyoti Prasad Mukhopadhyay (PhD chair; development/financial-services econ); LEAD at Krea - Sharon Buteau (financial inclusion, enterprise growth); Financial Well-being & Social Protection research vertical","The heartland of Indian financial-inclusion research; LEAD does exactly the RCT/impact-evaluation work the project needs; part-time route exists; genuine field access.","Part-time self-funded; less global brand prestige than NUS/HKUST; securitization/structured-finance depth thinner (partner with a finance advisor).","Moderate-high via the part-time hybrid track (periodic India presence for exams, not continuous relocation).","1","Supervisor verified; part-time route verified","Strongest topical + methodological fit in Asia, with a rare part-time option. Top direct-inquiry target.","Full-time: full tuition WAIVER (funded scholars pay no tuition). Part-time: self-funded (separate published fee structure).","Full-time PhD fellowship INR 35,000/mo, rising to INR 40,000/mo from yr 3, paid for 4 yrs (extendable to a 5th), plus accommodation support and national + international conference funding. Domestic scheme (no international-specific stipend named; not on UK/Singapore schemes).","Research/teaching engagement is part of the fellowship; RA work with LEAD at Krea is a feature of the ecosystem - not an extra required job on top of the stipend. No separate published rate.","INR 35,000/mo = INR 420,000/yr (~USD 5,050); INR 40,000/mo from yr 3 = INR 480,000/yr (~USD 5,800). Largely tax-free, tuition waived, accommodation supported. Sri City (very low cost, subsidised housing): COMFORTABLY COVERS locally, though modest in USD terms."
"PHD-31","Singapore Management University","Lee Kong Chian School of Business, PhD (Finance); also SMU-PHBS DBA in Economics (part-time)","Singapore","Singapore","Asia","https://business.smu.edu.sg/faculty/profile/981/hao-liang","Full-time PhD (stipend + fees); plus a part-time/executive SMU-PHBS DBA in Economics (with Peking Univ HSBC BS). English.","PhD funded (SMU norm); DBA self-funded/executive.","Hao Liang (sustainable finance, impact investing, 'Globalization and Affordability of Microfinance'; co-director Singapore Green Finance Centre)","Arguably the best-sourced individual supervisor match in Asia (microfinance + sustainable finance + impact investing); Singapore hub; both a research PhD and an executive DBA route exist.","PhD full-time on-campus (relocation); DBA is a professional degree (practice-weighted credibility).","PhD low (relocation); DBA moderate.","1","Supervisor verified (Liang, strong)","Highest supervisor fit in Singapore. Worth a direct approach to Prof. Liang regardless of program route.","Full-time PhD: full tuition subsidy + registration-fee waiver (effectively S$0 out of pocket). DBA (part-time professional doctorate): self-funded; exact SGD fee not verifiable (SMU pages behind bot protection).","SMU PhD Scholarship: full tuition + fee waiver + monthly living stipend up to 4 yrs (school-specific SGD amount not verifiable). SINGA (Singapore International Graduate Award), which SMU participates in and which IS open to internationals: full tuition + stipend S$2,700/mo rising to S$3,200 after the Qualifying Exam, + one-time S$1,500 airfare and S$1,000 settling-in, up to 4 yrs - the most relevant funded route for an Israel-based applicant.","TA/RA duties are part of the funded PhD; after yr 4 students may continue support via RA/TA. Hours/pay not published.","On SINGA/SMU stipend: S$2,700-3,200/mo = S$32,400-38,400/yr (~USD 24,000-28,400), tuition fully covered. Singapore (high rents): TIGHT at S$2,700, tight-to-manageable at the S$3,200 post-QE rate; clearly net-positive since tuition is funded."
"PHD-32","National University of Singapore","NUS Business School, Dept of Finance; NUS Sustainable & Green Finance Institute (SGFIN)","Singapore","Singapore","Asia","https://bschool.nus.edu.sg/finance/phd/phd-how-to-apply/","Full-time, on-campus, ~4-5 yrs; English; GMAT/GRE optional.","Full scholarship (tuition + living) + conference/overseas-research funding. Strongly funded.","Johan Sulaeman (Director SGFIN; sustainability/impact measurement in finance). Microfinance/VSLA-specific supervisor To identify.","Singapore green-finance hub; strong funding; sustainable finance an explicit departmental theme; SGFIN gives a structuring/impact-measurement home.","Full-time on-campus (incompatible with running the venture from Israel); technique-heavy (asset pricing), may not centre development/RCT; on-topic supervisor unconfirmed.","Low (relocation required).","2","Program verified; supervisor to verify","Elite and well-funded, but a full relocation with imperfect topical supervisor fit.","","","",""
"PHD-33","Nanyang Technological University","Nanyang Business School, Finance; Centre for Sustainable Finance Innovation + Insurance Risk & Finance Research Centre","Singapore","Singapore","Asia","https://www.ntu.edu.sg/business/academic-divisions/banking-finance","Full-time PhD, ~4-5 yrs; English; GMAT/GRE.","NTU research scholarships (stipend + tuition for admitted PhDs).","Chang Xin 'Simba' (Director CSFI; sustainable/corporate finance); Jun-Koo Kang (Director, Insurance Risk & Finance Research Centre - the insurance leg); Hong Ru (credit/development-adjacent finance)","A dedicated sustainable-finance centre PLUS an insurance-risk centre - an unusually good structural match for lending + microinsurance securitization; strong funding.","Full-time, relocation; microfinance/RCT development-field angle not the centre's core (leans corporate ESG).","Low (relocation).","2","Supervisors verified (theme + insurance)","One of the better thematic matches in Asia (finance + insurance + sustainability), but relocation-bound.","","","",""
"PHD-34","Hong Kong University of Science and Technology","Department of Finance (PhD)","Hong Kong SAR","Hong Kong","Asia","https://fina.hkust.edu.hk/programs/phd/program-structure-and-requirement","Full-time PhD, ~4 yrs; English; GMAT/GRE; HKPFS application ~1 Dec.","Among the most generous globally: Hong Kong PhD Fellowship Scheme HK$340,800/yr (~US$43,730) x4 + HK$14,200/yr travel + full tuition waiver; HKUST RedBird top-ups.","Darwin Choi (socially responsible investing); Zhanhui Chen (asset pricing linked to insurance, fintech, sustainable finance); Chu Zhang (financial markets/institutions). No verified microfinance/development-field specialist.","Exceptional funding; top-ranked finance department; ESG/green-finance + insurance-adjacent supervisors.","Full-time relocation + HK student visa; very quantitative, thin on RCT/development-field methods; VSLA supervisor not confirmed.","Low (relocation).","2","Program + funding verified; topical supervisor to verify","Best funding + prestige in Asia, but methodologically distant from the RCT/development core and relocation-bound. (HKU/CUHK/CityU are HKPFS-eligible leads with the same tradeoff.)","","","",""
"PHD-35","BRAC University (joint with SOAS, University of London)","Joint PhD in Global Development","Bangladesh","Dhaka","Asia","https://www.bracu.ac.bd/admissions/joint-phd-admission","Joint PhD in Global Development (SOAS-BRAC). Confirm FT/PT + residency split. English.","Confirm - joint programs sometimes carry studentships; assume competitive/partly self-funded until verified.","BRAC (birthplace of large-scale microfinance) field ecosystem + SOAS development-economics supervision. Named supervisors To identify.","Best-in-world microfinance field ecosystem (BRAC's own microfinance operations) paired with a UK-degree development-economics supervision.","New program; funding/format need confirmation; Bangladesh residency component.","Distinctive for the South-Asian/African field-site leg; residency component.","3","Program verified; funding + supervisors to verify","High-relevance option for the field-site leg; worth a direct enquiry.","","","",""
"PHD-36","The Open University","Open University Business School, PhD (Accounting & Finance / Economics)","UK","Milton Keynes","Remote","https://business-school.open.ac.uk/research/research-degrees","FT (Milton Keynes) and PT. CAVEAT: research-degree PT students 'normally resident in the UK and attend regular meetings' - verify overseas PT eligibility (the make-or-break question).","Fully-funded FT studentships via ESRC Grand Union DTP; PT is self-funded.","Departments include Accounting & Finance and Public Leadership & Social Enterprise; named supervisor To identify.","Genuine PhD; distance-friendly institutional culture; funded FT route exists.","PT normally UK-resident (key blocker for an Israel-based applicant) - confirm overseas eligibility first.","Potentially high IF overseas PT permitted; otherwise low.","3","Overseas PT residency rule to verify (decisive)","Attractive on paper for a remote PhD; hinges entirely on the UK-residency question.","","","",""
"PHD-37","Heriot-Watt University (Edinburgh Business School)","DBA (Doctor of Business Administration)","UK","Edinburgh (online / Dubai)","Remote","https://www.hw.ac.uk/ebs/study/dba","Fully online / distance-capable, part-time professional research doctorate (DBA, not PhD).","Self-funded (DBA norm). Cost/duration not published - request from EBS.","Not listed; EBS is a reputable UK degree-awarding institution (higher credibility than most online DBAs). Supervisor To identify.","Genuinely remote - the best pure-distance fit for staying in Israel; UK university with real degree-awarding powers.","DBA (practice-weighted, not academic-career grade); self-funded; supervisor-on-topic unverified; less RCT methodological depth than a research PhD.","High (fully online, part-time).","2","Program verified; supervisor to verify","Leading fully-remote option if a DBA's credibility tradeoff is acceptable.","","","",""
"PHD-38","IE Business School","DBA (also a separate full-time academic PhD in Management)","Spain","Madrid","Remote","https://www.ie.edu/business-school/programs/doctorates/dba/","Part-time blended DBA, 4 yrs (2 coursework + 2 dissertation); only 3 residency periods in Spain (2 weeks each); English. Triple-accredited.","Self-funded (fees not published - request from admissions).","Not named on page; IE is AACSB/EQUIS/AMBA triple-accredited (high DBA credibility). Supervisor To identify.","Only ~6 weeks total on-site over 4 years - very venture-compatible; strong brand; English.","Executive-level entry expectation; DBA credibility tier (below a research PhD); self-funded.","High.","2","Program verified; supervisor to verify","Among the most travel-light credible DBAs; note the separate full-time PhD in Management if he wants the academic track.","","","",""
"PHD-39","University of Reading (Henley Business School)","DBA (Doctor of Business Administration)","UK","Henley-on-Thames (also Johannesburg)","Remote","https://www.henley.ac.uk/study/phds/doctor-of-business-administration-dba","Part-time, hybrid, 4-6 yrs; DBA (not PhD); English. Triple-accredited.","Self-funded: ~GBP 14,500/yr (yrs 1-3), GBP 11,500 (yr 4), GBP 7,500 (yrs 5-6).","Ruth Sealy (programme director); Finance & Accounting research area exists. Supervisor To identify.","Prestigious, triple-accredited; hybrid (limited residency); a Finance & Accounting research theme.","Requires minimum 5 yrs managerial experience; some Henley/Johannesburg presence; DBA (practice-framed); self-funded.","High (part-time hybrid, executive-oriented).","2","Program verified; check 5-yr experience bar","Strong credible-DBA option if the work-experience bar is met and periodic UK/SA presence is workable.","","","",""
"PHD-40","University of Nottingham","School of Economics / CREDIT (PhD Economics)","UK","Nottingham","UK","https://www.nottingham.ac.uk/economics/","PhD (MRes+PhD or direct with strong master's); FT (PT possible - confirm).","Midlands Graduate School ESRC DTP; Nottingham studentships; intl-eligible but limited.","Oliver Morrissey (development econ; development finance, aid, trade, fiscal policy). Microfinance/impact co-supervisor To identify.","Established development-economics centre (CREDIT); solid econometrics.","Less on securitization + microinsurance specifically; intl funding competitive.","Moderate.","3","Supervisor verified (Morrissey); supporting option","Credible development-economics home; a supporting option rather than a lead.","","","",""
"PHD-41","Toulouse School of Economics / Paris School of Economics","Economics PhD (development / contract theory / RCTs)","France","Toulouse / Paris","Europe","","Elite funded economics PhDs, English; funded doctoral contracts.","Funded (competitive); French doctoral contracts salaried.","Strong development + contract-theory (TSE) and development-economics/RCT clusters (PSE, J-PAL Europe ties). Named supervisor To identify.","Top-tier economics training + funding; PSE especially strong for impact evaluation.","Very competitive; no verified microfinance-specialized supervisor yet; full-time.","Low-moderate (full-time).","3","Program strong; supervisor to verify","Elite economics + impact-evaluation homes; confirm a development/finance supervisor.","French national doctoral fee ~EUR 400/yr + ~EUR 100 CVEC; no international differential.","Both fund via the salaried 'contrat doctoral' (EUR 2,300 gross/mo, 2026) and/or institutional fellowships. TSE funds from the M2 ETE doctoral track upward and guarantees funding on progression; PSE admits only candidates with secured funding and awards a few 3-yr stipends/yr + mobility support. Non-EU eligible; Eiffel has an earlier (Nov) deadline.","Active RA markets tied to funded projects at both, plus optional teaching missions (~64 h/yr) on a contrat doctoral.","~EUR 1,850/mo net (~EUR 22,000/yr, ~USD 24,000), a little higher where a school fellowship tops up the minimum. Toulouse: COMFORTABLY COVERS; Paris (PSE): TIGHT (rents)."
"PHD-42","University of Gothenburg / Stockholm School of Economics","Economics PhD (Environment for Development / SITE) - Nordic salaried model","Sweden","Gothenburg / Stockholm","Europe","https://www.gu.se/en/economics/doctoral-studies","Salaried PhD employee positions (~5 yrs, strong funding advantage); English; competitive annual intake.","Fully salaried Nordic PhD (best funding model).","Environmental + development economics, RCT/field capacity (EfD network; SITE at SSE). On-topic financial-inclusion supervisor To identify.","Fully salaried; development + environmental/climate-finance angle fits the sustainability dimension.","Finance-structuring thin; microfinance-specific supervisor unverified; relocation to Sweden.","Medium (full-time, salaried).","3","Funding model strong; supervisor to verify","Excellent funding model + climate/development-economics fit; verify a supervisor.","None - Swedish doctoral positions are salaried employment (doktorandtjanst), not fee-paying, so no tuition for EU or non-EU doctoral employees.","Not a scholarship model: funded via a salaried 4-yr (FTE) doctoral employment awarded through competitive annual admission; open to internationals. (Stockholm School of Economics / SITE uses a comparable salaried/funded model.)","Departmental duties (teaching/admin) up to a maximum of 20% of time, extending the position pro rata; part of the employment, not a separate job.","Salaried ladder rising with progress (~SEK 34,550/mo gross reported from May 2025, with milestone raises at 50% and 80%; exact ladder varies by dept - verify). Net after tax ~SEK 23,000-26,000/mo = ~SEK 280,000-310,000/yr (~USD 27,000-30,000). Gothenburg: comfortably covers on the salaried Nordic model; Stockholm is tighter."
"PHD-43","Erasmus University Rotterdam (ISS)","International Institute of Social Studies, PhD","Netherlands","The Hague","Europe","https://www.iss.nl/en/research/phd-programme","4-yr doctorate, largely SELF-FUNDED (must prove funds); English.","Self-funded: tuition ~EUR 8,000/yr; total incl. living/fieldwork ~EUR 92,750. Waiver possible on request.","Development-studies strength (social/political economy of development); finance/microfinance supervisor To identify.","Development-studies depth; fieldwork-oriented; The Hague policy hub.","Self-funded model is the weakest funding fit here; finance-structuring expertise unverified.","Good fieldwork orientation; cost is a real drawback.","3","Program verified; funding structure weak","Thematically credible on development, but the self-funded structure works against the funding priority.","","","",""
"PHD-44","University of Passau","Chair of Development Economics (Prof. Grimm); individual doctorate in Economics with Bavarian Graduate Program in Economics (BGPE) coursework","Germany","Passau","Europe","https://www.wiwi.uni-passau.de/en/development-economics/team/prof-dr-michael-grimm","~3-4 yrs full-time; individual doctorate (own supervisor + financing) plus BGPE coursework; English working language, doctoral regulations in German; dissertation + oral exam.","No guaranteed scholarship on admission; the standard route is a paid research/project position on a chair or grant (German public scale TV-L E13, ~65-75% FTE), plus Graduate Centre starter/travel/publication grants. Grimm's chair has advertised fully-funded doctoral positions.","Michael Grimm (development economics: microinsurance, health, small and informal firms, RCTs; West Africa and SE Asia; J-PAL affiliate, EUDN board)","Arguably the closest single-supervisor topical match on the list (microinsurance + RCTs + African fieldwork + informal-enterprise finance); J-PAL network; a salaried TV-L post is real income with social insurance; English-workable.","No guaranteed funding line - you must land a chair/project position or bring funding; individual doctorate (less cohort structure); advertised posts are topic-specific so exact-theme fit depends on an open vacancy.","Strong. A TV-L position is in principle compatible with a parallel venture (subject to secondary-employment approval); Grimm's RCT/field orientation and West-Africa focus suit treating the venture's pilots as research.","1","Verified (route, supervisor and funding mechanism); exact stipend depends on the vacancy","Best pure topical fit (microinsurance + RCTs + informal-firm finance); funding is position-by-position, not guaranteed. Note: as an Israeli applicant, DAAD development-country scholarships do not apply - the funded route is a salaried TV-L post.","No tuition; only the semester contribution (est. ~EUR 100-170/semester). Same for internationals.","No blanket entry scholarship; Graduate Centre thesis-starter/travel/publication grants. DAAD EPOS is not open to an Israeli (high-income, non-DAC) applicant. Main realistic funding is a salaried RA/project post.","Yes, and central to funding: doctoral candidates are typically employed as research assistants (wissenschaftliche Mitarbeiter) on TV-L E13, 65-75% FTE, with teaching/research duties as part of the salaried contract.","On TV-L E13: ~EUR 23,000-25,000/yr net at 65% FTE, ~EUR 25,000-27,000/yr net at 75% (est.; ~USD 25,000-29,000). Passau is a small, low-cost Bavarian town (rent ~EUR 400-600): COMFORTABLY COVERS."
"PHD-45","University of Bonn (Center for Development Research, ZEF)","Bonn International Graduate School for Development Research (BIGS-DR); interdisciplinary doctoral program in development research","Germany","Bonn","Europe","https://www.zef.de/doctoralprogram","~3-4 yrs full-time; English; structured, ~30 ECTS coursework; cohort of ~20-30/yr; degree awarded by a University of Bonn faculty.","Historically funded largely through DAAD EPOS development-country scholarships; applicants with secured funding can also enrol (1 May deadline, October start). No tuition, only a semester fee.","~50 senior researchers across three departments (Economic and Technological Change; Political and Cultural Change; Ecology and Natural Resources). No individual PhD supervisor named on the program pages - identify a development-finance supervisor before applying.","Strong interdisciplinary development-research environment with a genuine field-research culture and Global-South networks; tuition-free; well-known development-studies brand; research funds ~EUR 5,000-20,000.","Its flagship funding (DAAD EPOS) is not open to an Israeli applicant, so a paid position, an external fellowship or self-funding is needed; supervisors not individually named on the public pages; more development-studies than finance-technical.","Good field-pilot culture (built around Global-South fieldwork); running a parallel venture is workable only on a non-EPOS/self-funded or salaried route.","2","Program, format and fee verified; funding-eligibility caveat confirmed; specific supervisor unverified","Excellent development-research home, but the standard scholarship excludes an Israeli applicant - fit hinges on securing a salaried position or external funding.","No tuition; semester fee ~EUR 350/semester (search-reported).","DAAD EPOS doctoral rate EUR 1,300/mo (rising to EUR 1,400/mo from Feb 2026) + insurance/travel - BUT restricted to development/newly-industrialized-country nationals, so an Israeli applicant is NOT eligible. Non-EPOS routes: salaried ZEF/project (TV-L) positions or bring-your-own funding.","EPOS scholars are funded to focus on the PhD (scholarship, not salaried teaching). Salaried RA positions on ZEF projects (TV-L) exist separately and are the realistic paid, teaching/RA-bearing route for a non-EPOS applicant.","On a TV-L project salary (the realistic route for an Israeli): est. ~EUR 23,000-25,000/yr net (~USD 25,000-27,000) if such a post is available - comfortable in Bonn. EPOS (~EUR 15,600-16,800/yr) is both tight and unavailable to this applicant. Flag: salaried post comfortable but not guaranteed."
"PHD-46","University of Hohenheim","Hans-Ruthenberg-Institute, Chair of Rural Development Theory and Policy (490a); doctorate in agricultural/development economics + the international IPPAE track","Germany","Stuttgart (Hohenheim)","Europe","https://entwicklungspolitik.uni-hohenheim.de/en/prof-dr-manfred-zeller-490a-en","~3-4 yrs. Two routes: an individual doctorate under a chair (funded by a project/RA post), or the structured International PhD Programme for Agricultural Economics, Bioeconomy and Rural Development (IPPAE, with Giessen). English; some regulations in German.","No automatic funding on admission; routes are a paid TV-L project/RA position, a DAAD/foundation scholarship, or (for IPPAE) DAAD development-country funding. Tuition-free aside from the semester fee.","Manfred Zeller (rural finance, microfinance institutions, cooperatives, food security, poverty-targeting tools; Sub-Saharan Africa and SE Asia); Regina Birner (institutions, governance, digital agricultural innovation)","Zeller is one of the strongest rural-finance/microfinance names in German academia - a near-exact match to VSLA/community-lending finance; deep rural-financial-systems and poverty-measurement tradition; tuition-free; strong tropical-agriculture field network.","Framing is agricultural/rural economics, not structured/securitized finance - the capital-markets side is not the chair's core; Zeller is long-tenured (confirm his remaining supervision horizon); IPPAE's own stream is development-country-restricted (an Israeli is not EPOS-eligible).","Strong on the field/microfinance side (rural-finance fieldwork in Africa is home turf); parallel-venture compatibility depends on a salaried post with secondary-employment approval rather than a full-time development scholarship.","2","Supervisor, chair and on-topic research verified; funding route-dependent and not guaranteed","Best-in-class rural-finance/microfinance supervisor (Zeller), but agricultural-economics framing and no securitization angle; confirm his supervision horizon and a funded position.","No tuition; standard semester contribution only (est. ~EUR 170/semester). Same for internationals.","No blanket scholarship. The IPPAE track is typically DAAD-funded for developing-country nationals (an Israeli applicant is not eligible). Otherwise DAAD/foundation fellowships (eligibility varies) or, most realistically, a salaried RA/project post.","Yes - the standard funded route is employment as a research assistant on a chair/DFG/BMZ project, TV-L E13 (commonly 65-75% FTE), carrying research and some teaching as part of the salaried contract.","On a TV-L E13 RA post: ~EUR 23,000-25,000/yr net at 65% FTE, ~EUR 25,000-27,000/yr at 75% (est.; ~USD 25,000-29,000). The campus is in Stuttgart, a high-cost city (rent ~EUR 700-1,000), so 65% is adequate-to-tight and 75% is comfortable for a single person."
